Match Name,teamA_name,teamB_name,year,teamA_won,predicted,probability_teamA,correct,teamA_kills,teamB_kills,teamA_acs,teamB_acs,teamA_rating,teamB_rating,teamA_kd,teamB_kd,diff_kills,diff_acs,diff_kd,resultado_real,resultado_predicho,prediccion_correcta,confianza
Built By Gamers vs TSM,Built By Gamers,TSM,2022,1,1,0.9854951660472685,1,162.0,134.0,217.2,192.8,1.1119999999999999,0.8699999999999999,1.208955223880597,0.8271604938271605,28.0,24.399999999999977,0.38179473005343645,Team A ganó,Team A ganó,Correcta,0.970990332094537
Ghost Gaming vs Andbox,Andbox,Ghost Gaming,2022,1,1,0.740767022239082,1,178.0,170.0,206.8,200.6,1.024,0.9640000000000001,1.04093567251462,0.9550561797752809,8.0,6.200000000000017,0.08587949273933904,Team A ganó,Team A ganó,Correcta,0.48153404447816395
Eternal Fire vs Parla Esports,Eternal Fire,Parla Esports,2022,1,1,0.9955434270164516,1,172.0,133.0,226.2,182.8,1.166,0.8240000000000001,1.2932330827067668,0.7732558139534884,39.0,43.39999999999998,0.5199772687532784,Team A ganó,Team A ganó,Correcta,0.9910868540329032
TooManyQuestions vs Dirty boys,Dirty boys,TooManyQuestions,2021,0,0,0.0013956786125175233,1,112.0,148.0,188.2,221.8,,,0.7567567567567568,1.3214285714285714,-36.0,-33.60000000000002,-0.5646718146718146,Team B ganó,Team B ganó,Correcta,0.9972086427749649
Version1 vs Pioneers,Pioneers,Version1,2021,1,1,0.8670430922890392,1,239.0,219.0,210.2,198.2,1.032,0.9359999999999999,1.091324200913242,0.9163179916317992,20.0,12.0,0.17500620928144284,Team A ganó,Team A ganó,Correcta,0.7340861845780784
FNATIC vs Paper Rex,FNATIC,Paper Rex,2025,1,1,0.9151988243768249,1,230.0,199.0,210.2,181.0,0.9040000000000001,0.6559999999999999,1.1557788944723617,0.8652173913043478,31.0,29.19999999999999,0.2905615031680139,Team A ganó,Team A ganó,Correcta,0.8303976487536497
BOOM Esports vs Oasis Gaming,BOOM Esports,Oasis Gaming,2022,1,1,0.9992127107659061,1,174.0,120.0,234.6,173.33333333333334,1.222,0.7599999999999999,1.45,0.6896551724137931,54.0,61.26666666666665,0.7603448275862068,Team A ganó,Team A ganó,Correcta,0.9984254215318122
Bald Wheelchair vs Orgless22,Bald Wheelchair,Orgless22,2022,0,0,0.0005263497638611054,1,114.0,154.0,184.6,228.4,0.774,1.214,0.7402597402597403,1.3508771929824561,-40.0,-43.80000000000001,-0.6106174527227158,Team B ganó,Team B ganó,Correcta,0.9989473004722778
Papara SuperMassive vs OtherSide,OtherSide,Papara SuperMassive,2021,0,0,0.0022360224104431025,1,128.0,170.0,175.2,220.0,0.8560000000000001,1.15,0.7529411764705882,1.328125,-42.0,-44.80000000000001,-0.5751838235294118,Team B ganó,Team B ganó,Correcta,0.9955279551791137
SUPRMODE Gaming vs Cyberbullies,Cyberbullies,SUPRMODE Gaming,2021,0,0,0.018415802691116128,1,219.0,268.0,191.4,229.4,0.8320000000000001,1.1300000000000001,0.8171641791044776,1.2237442922374429,-49.0,-38.0,-0.40658011313296527,Team B ganó,Team B ganó,Correcta,0.9631683946177677
