equipo,total_partidos,total_victorias,winrate,accuracy_modelo,avg_acs,avg_kd,avg_kills
Team 7AM,3.0,2.0,66.67,100.0,220.6,1.0560344827586208,245.0
Team Aurora,5.0,3.0,60.0,80.0,227.9,1.5670470505617977,295.5
Team Big BAAM,5.0,2.0,40.0,100.0,234.8,2.0,132.0
Team Divinity,5.0,3.0,60.0,80.0,202.0,0.9576729631167369,213.75
Team Gravity,4.0,1.0,25.0,100.0,173.0,0.6982248520710059,118.0
Team Liquid,13.0,8.0,61.54,84.62,201.0,1.0050251256281406,200.0
Team Progress,3.0,2.0,66.67,100.0,216.0,1.0632911392405062,252.0
Team Queso,7.0,2.0,28.57,100.0,191.0,0.8765957446808511,206.0
Team SMG,6.0,4.0,66.67,100.0,220.4333333333333,1.2981648084224369,282.0
Team Secret,10.0,7.0,70.0,90.0,247.66666666666666,1.608695652173913,148.0
Team Singularity,5.0,4.0,80.0,100.0,219.10000000000002,1.2399181387333047,293.5
Team Valor,3.0,3.0,100.0,100.0,214.2,1.0876494023904382,273.0
Team Vikings,5.0,4.0,80.0,100.0,233.8,1.6344086021505377,304.0
Team Vitality,8.0,6.0,75.0,87.5,223.0,1.3898305084745763,164.0
Team hz,4.0,3.0,75.0,75.0,227.89999999999998,1.4040322580645161,155.5
Thunderbolts Gaming,8.0,5.0,62.5,75.0,211.2,1.040497448979592,233.0
Timing Monster Gaming,3.0,3.0,100.0,100.0,229.6,1.3636363636363635,165.0
Todak,6.0,3.0,50.0,100.0,172.6,0.7310344827586207,106.0
Trace Esports,3.0,0.0,0.0,100.0,188.2,0.9113924050632911,216.0
Trident Clan,3.0,2.0,66.67,100.0,195.2,0.91324200913242,200.0
Unity Esports,5.0,3.0,60.0,80.0,179.2,0.783068783068783,296.0
Unknownpros,4.0,1.0,25.0,100.0,192.2,0.8587570621468926,152.0
VIRTUOSO,7.0,5.0,71.43,85.71,249.4,1.7058823529411764,145.0
WATAHA,3.0,3.0,100.0,100.0,236.6,1.8,153.0
World Game Star,9.0,7.0,77.78,88.89,223.1,1.167402501839588,166.5
X10 Esports,8.0,5.0,62.5,87.5,173.4,0.7142857142857143,115.0
XERXIA Esports,7.0,3.0,42.86,100.0,201.4,0.9273743016759777,166.0
Zero Zone,3.0,2.0,66.67,100.0,206.93333333333334,0.9574468085106383,495.0
animel,4.0,2.0,50.0,100.0,209.8,1.168,146.0
ehehxd,3.0,2.0,66.67,66.67,209.3,0.9597271600948072,261.5
headzots,3.0,1.0,33.33,66.67,207.0,1.0328638497652582,220.0
kebabmasterz,3.0,0.0,0.0,100.0,202.4,0.9346938775510204,229.0
Cyber Skull Esports,3.0,1.0,33.33,100.0,,,
Mega Minors,5.0,4.0,80.0,60.0,,,
NXL LIGAGAME,5.0,2.0,40.0,100.0,,,
Persija Esports,4.0,0.0,0.0,75.0,,,
QLF Clan,3.0,1.0,33.33,100.0,,,
REIGNITE,3.0,3.0,100.0,100.0,,,
RYU Gaming,3.0,0.0,0.0,100.0,,,
Reformed,3.0,2.0,66.67,100.0,,,
Reject$,3.0,2.0,66.67,100.0,,,
Rise Gaming,8.0,5.0,62.5,100.0,,,
Sedated,3.0,2.0,66.67,100.0,,,
Skull Cracker,4.0,1.0,25.0,100.0,,,
